Song,Artist,File Location,
 Everything,Diamond Eyes ,Music\Diamond Eyes - Everything.wav,
 Gravity,Diamond Eyes ,Music\Diamond Eyes - Gravity.wav,
 DANCE WITH U,PANDA EYES ,Music\PANDA EYES - DANCE WITH U.wav,
 FREE FROM U,PANDA EYES ,Music\PANDA EYES - FREE FROM U.wav,
 Antigravity,Starset ,Music\Starset - Antigravity.wav,
 EARTHRISE,STARSET ,Music\STARSET - EARTHRISE.wav,
 LEAVING THIS WORLD BEHIND,STARSET ,Music\STARSET - LEAVING THIS WORLD BEHIND.wav,
 Satellite,Starset ,Music\Starset - Satellite.wav,
 STRATOSPHERE,STARSET ,Music\STARSET - STRATOSPHERE.wav,
 Telepathic,Starset ,Music\Starset - Telepathic.wav,
